Customer ID,Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,Longitude,Latitude,CLTV (Predicted Thou. IDR)
0,2,Jakarta,Mid End,Yes,Yes,No,No,No,No,Digital Wallet,70.00500000000001,Yes,106.816666,-6.2,4210.7
1,2,Jakarta,High End,No,No,No,No,No,No,Pulsa,91.91000000000001,Yes,106.816666,-6.2,3511.3
2,8,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,129.54500000000002,Yes,106.816666,-6.2,6983.6
3,28,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Pulsa,136.24,Yes,106.816666,-6.2,6503.900000000001
4,49,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Debit,134.81,Yes,106.816666,-6.2,6942.0
5,10,Jakarta,Mid End,No,No,Yes,Yes,No,No,Credit,71.76,Yes,106.816666,-6.2,7702.5
6,1,Jakarta,Mid End,No,No,Yes,No,No,Yes,Pulsa,51.545,Yes,106.816666,-6.2,7062.900000000001
7,1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26.195,Yes,106.816666,-6.2,6281.6
8,47,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,129.155,Yes,106.816666,-6.2,7525.7
9,1,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,39.26,Yes,106.816666,-6.2,3789.5
10,17,Jakarta,Mid End,No,No,No,No,Yes,Yes,Digital Wallet,84.11000000000001,Yes,106.816666,-6.2,3928.6
11,5,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.61000000000001,Yes,106.816666,-6.2,3190.2000000000003
12,34,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,138.255,Yes,106.816666,-6.2,3823.3
13,11,Jakarta,High End,No,No,Yes,No,Yes,Yes,Debit,127.205,Yes,106.816666,-6.2,7376.2
14,2,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104.84500000000001,Yes,106.816666,-6.2,7261.8
15,15,Jakarta,High End,Yes,Yes,No,No,Yes,Yes,Credit,128.82999999999998,Yes,106.816666,-6.2,3855.8
16,8,Jakarta,High End,No,Yes,No,No,No,No,Credit,104.84500000000001,Yes,106.816666,-6.2,6892.6
17,18,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,124.08500000000001,Yes,106.816666,-6.2,4132.7
18,9,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122.72000000000001,Yes,106.816666,-6.2,7242.3
19,1,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,103.155,Yes,106.816666,-6.2,3227.9
20,7,Jakarta,High End,No,No,Yes,No,No,No,Debit,97.69500000000001,Yes,106.816666,-6.2,4494.1
21,12,Jakarta,High End,Yes,No,No,No,No,No,Pulsa,102.635,Yes,106.816666,-6.2,7547.8
22,5,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,27.365000000000002,Yes,106.816666,-6.2,3385.2000000000003
23,25,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,128.05,Yes,106.816666,-6.2,6938.1
24,68,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Debit,143.0,Yes,106.816666,-6.2,6544.2
25,55,Jakarta,High End,Yes,Yes,No,No,Yes,No,Pulsa,125.775,Yes,106.816666,-6.2,6700.2
26,37,Jakarta,High End,No,No,No,No,No,No,Pulsa,99.45,Yes,106.816666,-6.2,3630.9
27,10,Jakarta,High End,Yes,No,No,No,Yes,Yes,Pulsa,130.32500000000002,Yes,106.816666,-6.2,7797.400000000001
28,3,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.72000000000001,Yes,106.816666,-6.2,5739.5
29,27,Jakarta,High End,No,No,Yes,No,No,No,Pulsa,101.465,Yes,106.816666,-6.2,6029.400000000001
30,25,Jakarta,Mid End,Yes,Yes,Yes,No,Yes,Yes,Credit,76.18,Yes,106.816666,-6.2,5447.0
31,1,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,46.08500000000001,Yes,106.816666,-6.2,2991.3
32,2,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,57.655,Yes,106.816666,-6.2,3341.0
33,1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,91.58500000000001,Yes,106.816666,-6.2,5153.2
34,8,Jakarta,Mid End,Yes,No,No,Yes,No,Yes,Pulsa,92.495,Yes,106.816666,-6.2,3460.6
35,1,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59.345,Yes,106.816666,-6.2,3380.0
36,7,Jakarta,High End,No,No,No,No,Yes,Yes,Digital Wallet,123.5,Yes,106.816666,-6.2,3621.8
37,20,Bandung,High End,Yes,No,No,No,No,No,Pulsa,107.12,Yes,107.60981,-6.914744,7434.7
38,4,Bandung,High End,No,No,No,No,No,No,Debit,92.17000000000002,Yes,107.60981,-6.914744,5573.1
39,58,Bandung,Mid End,No,Yes,Yes,No,No,Yes,Pulsa,58.89,Yes,107.60981,-6.914744,7077.2
40,2,Bandung,High End,No,No,Yes,Yes,Yes,Yes,Pulsa,135.72,Yes,107.60981,-6.914744,6097.0
41,53,Bandung,High End,No,No,Yes,No,Yes,Yes,Debit,123.30499999999999,Yes,107.60981,-6.914744,5626.400000000001
42,15,Bandung,High End,No,No,No,No,No,No,Digital Wallet,96.78500000000001,Yes,107.60981,-6.914744,7432.1
43,7,Bandung,High End,Yes,No,No,No,No,No,Debit,99.385,Yes,107.60981,-6.914744,5744.7
44,1,Bandung,Mid End,No,Yes,No,No,No,No,Debit,38.935,Yes,107.60981,-6.914744,5894.2
45,8,Bandung,High End,No,No,No,No,No,Yes,Debit,109.85000000000001,Yes,107.60981,-6.914744,2797.6
46,13,Bandung,High End,No,Yes,Yes,No,No,No,Pulsa,103.025,Yes,107.60981,-6.914744,6684.6
