tenure_months,tenure_segmentation,location,device_class,games_product,music_product,education_product,video_product,any_digital_product,all_digital_product,total_digital_product_used,call_center,use_myapp,total_product_utilisation,payment_method,monthly_purchase_thou_idr_,cltv_predicted_thou_idr_,total_spending,net_cltv_total_spending
2,low,Jakarta,Mid End,Yes,Yes,No,No,1,0,2,No,No,2,Digital Wallet,70.0,4212.0,140.0,4070.0
2,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.94,3512.0,183.9,3328.0
8,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,129.5,6984.0,1036.0,5948.0
28,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Pulsa,136.2,6504.0,3814.0,2690.0
49,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Debit,134.8,6944.0,6604.0,336.2
10,medium,Jakarta,Mid End,No,No,Yes,No,1,0,1,Yes,No,2,Credit,71.75,7704.0,717.5,6984.0
1,low,Jakarta,Mid End,No,No,Yes,No,1,0,1,No,Yes,2,Pulsa,51.53,7064.0,51.53,7012.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,26.19,6280.0,26.19,6256.0
47,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,129.1,7524.0,6070.0,1455.0
1,low,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,39.25,3790.0,39.25,3750.0
17,high,Jakarta,Mid End,No,No,No,Yes,1,0,1,No,Yes,2,Digital Wallet,84.1,3928.0,1430.0,2498.0
5,medium,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.6,3190.0,453.0,2738.0
34,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,138.2,3824.0,4700.0,-877.5
11,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Debit,127.2,7376.0,1399.0,5976.0
2,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,104.9,7260.0,209.8,7052.0
15,high,Jakarta,High End,Yes,Yes,No,Yes,1,0,3,No,Yes,4,Credit,128.9,3856.0,1932.0,1923.0
8,medium,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Credit,104.9,6892.0,839.0,6052.0
18,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,124.06,4132.0,2234.0,1899.0
9,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,122.75,7244.0,1104.0,6136.0
1,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,103.1,3228.0,103.1,3124.0
7,medium,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Debit,97.7,4496.0,684.0,3810.0
12,high,Jakarta,High End,Yes,No,No,No,1,0,1,No,No,1,Pulsa,102.6,7548.0,1232.0,6316.0
5,medium,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,27.36,3386.0,136.9,3248.0
25,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,128.0,6940.0,3202.0,3736.0
68,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,Yes,Yes,5,Debit,143.0,6544.0,9730.0,-3180.0
55,high,Jakarta,High End,Yes,Yes,No,Yes,1,0,3,No,No,3,Pulsa,125.75,6700.0,6916.0,-217.4
37,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,99.44,3630.0,3680.0,-48.75
10,medium,Jakarta,High End,Yes,No,No,Yes,1,0,2,No,Yes,3,Pulsa,130.4,7796.0,1303.0,6496.0
3,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,96.75,5740.0,290.2,5450.0
27,high,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Pulsa,101.44,6028.0,2740.0,3290.0
25,high,Jakarta,Mid End,Yes,Yes,Yes,Yes,1,1,4,No,Yes,5,Credit,76.2,5450.0,1905.0,3542.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,46.1,2992.0,46.1,2946.0
2,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,57.66,3340.0,115.3,3226.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,91.56,5150.0,91.56,5060.0
8,medium,Jakarta,Mid End,Yes,No,No,No,1,0,1,Yes,Yes,3,Pulsa,92.5,3460.0,740.0,2720.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,59.34,3380.0,59.34,3320.0
7,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Digital Wallet,123.5,3622.0,864.5,2758.0
20,high,Bandung,High End,Yes,No,No,No,1,0,1,No,No,1,Pulsa,107.1,7436.0,2142.0,5292.0
4,medium,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Debit,92.2,5572.0,368.8,5204.0
58,high,Bandung,Mid End,No,Yes,Yes,No,1,0,2,No,Yes,3,Pulsa,58.88,7076.0,3416.0,3662.0
2,low,Bandung,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Pulsa,135.8,6096.0,271.5,5824.0
53,high,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Debit,123.3,5628.0,6536.0,-909.0
15,high,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,96.8,7430.0,1452.0,5980.0
7,medium,Bandung,High End,Yes,No,No,No,1,0,1,No,No,1,Debit,99.4,5744.0,695.5,5050.0
1,low,Bandung,Mid End,No,Yes,No,No,1,0,1,No,No,1,Debit,38.94,5896.0,38.94,5856.0
8,medium,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Debit,109.9,2798.0,879.0,1919.0
13,high,Bandung,High End,No,Yes,Yes,No,1,0,2,No,No,2,Pulsa,103.0,6684.0,1339.0,5344.0
1,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,32.25,6308.0,32.25,6276.0
6,medium,Bandung,High End,No,Yes,Yes,No,1,0,2,No,Yes,3,Pulsa,118.3,2968.0,710.0,2258.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,103.9,4412.0,103.9,4308.0
19,high,Bandung,High End,Yes,No,Yes,Yes,1,0,3,Yes,Yes,5,Pulsa,138.6,4892.0,2634.0,2260.0
2,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Credit,59.8,3468.0,119.6,3348.0
4,medium,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.2,2896.0,364.8,2530.0
4,medium,Bandung,Mid End,No,No,No,No,0,0,0,Yes,No,1,Digital Wallet,65.06,4412.0,260.2,4150.0
1,low,Bandung,Mid End,No,No,No,Yes,1,0,1,No,No,1,Digital Wallet,71.75,4730.0,71.75,4656.0
1,low,Bandung,High End,Yes,No,No,No,1,0,1,No,Yes,2,Digital Wallet,110.0,3230.0,110.0,3120.0
2,low,Bandung,Mid End,No,Yes,No,No,1,0,1,No,No,1,Digital Wallet,70.75,3322.0,141.5,3182.0
11,medium,Bandung,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,123.5,7776.0,1358.0,6416.0
15,high,Bandung,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,96.75,6000.0,1451.0,4550.0
1,low,Bandung,Mid End,Yes,No,No,No,1,0,1,No,No,1,Digital Wallet,63.12,7390.0,63.12,7330.0
2,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.5,7390.0,183.0,7212.0
1,low,Bandung,Mid End,No,Yes,No,Yes,1,0,2,No,No,2,Pulsa,52.25,7576.0,52.25,7524.0
2,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Credit,57.97,6348.0,115.94,6230.0
3,low,Bandung,Mid End,No,No,Yes,No,1,0,1,No,Yes,2,Pulsa,53.5,3008.0,160.5,2848.0
13,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,139.0,3242.0,1807.0,1436.0
59,high,Bandung,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.16,6610.0,1484.0,5124.0
16,high,Bandung,High End,No,No,No,Yes,1,0,1,Yes,Yes,3,Pulsa,122.8,4950.0,1965.0,2988.0
1,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Debit,32.25,6612.0,32.25,6580.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,91.75,4340.0,91.75,4250.0
5,medium,Bandung,High End,No,Yes,No,No,1,0,1,Yes,No,2,Pulsa,111.0,4780.0,555.0,4224.0
